date,closed_known,open_known,other_share,open_share_classified_pct,open_share_of_total_pct
2026-07-15,53.535700,46.464200,0.000000,46.464246,46.464200
2026-07-16,54.250600,45.749500,0.000000,45.749454,45.749500
2026-07-17,56.064700,43.935300,0.000000,43.935300,43.935300
2026-07-18,53.023200,46.976800,0.000000,46.976800,46.976800
2026-07-19,49.482600,50.517100,0.000000,50.517252,50.517100
2026-07-20,49.699400,50.300600,0.000000,50.300600,50.300600
2026-07-21,47.008900,52.991100,0.000000,52.991100,52.991100
2026-07-22,58.056600,41.943700,0.000000,41.943574,41.943700
2026-07-23,58.006500,41.993400,0.000000,41.993442,41.993400
2026-07-24,51.740600,48.259400,0.000000,48.259400,48.259400
2026-07-25,52.392600,47.607500,0.000000,47.607452,47.607500
2026-07-26,48.993600,51.006400,0.000000,51.006400,51.006400
2026-07-27,54.370200,45.629700,0.000000,45.629746,45.629700
2026-07-28,54.840000,45.160000,0.000000,45.160000,45.160000
2026-07-29,57.260400,42.739500,0.000000,42.739543,42.739500
2026-07-30,51.691700,48.308300,0.000000,48.308300,48.308300
2026-07-31,55.644200,44.355900,0.000000,44.355856,44.355900
2026-08-01,48.466500,51.533500,0.000000,51.533500,51.533500
2026-08-02,48.082600,51.917700,0.000000,51.917544,51.917700
2026-08-03,53.337900,46.661900,0.000000,46.661993,46.661900
2026-08-04,54.735400,45.264700,0.000000,45.264655,45.264700
2026-08-05,53.450200,46.549900,0.000000,46.549853,46.549900
2026-08-06,46.864800,53.135400,0.000000,53.135294,53.135400
2026-08-07,42.554100,57.445700,0.000000,57.445815,57.445700
2026-08-08,37.840600,62.159200,0.000000,62.159324,62.159200
2026-08-09,39.165400,60.834500,0.000000,60.834561,60.834500
2026-08-10,45.792100,54.207700,0.000000,54.207808,54.207700
2026-08-11,45.777300,54.222700,0.000000,54.222700,54.222700
2026-08-12,48.390800,51.609500,0.000000,51.609345,51.609500
2026-08-13,46.112000,53.888300,0.000000,53.888138,53.888300
2026-08-14,46.722300,53.277800,0.000000,53.277747,53.277800
2026-08-15,48.329900,51.669900,0.000000,51.670003,51.669900
2026-08-16,42.446900,57.553100,0.000000,57.553100,57.553100
2026-08-17,45.377200,54.622700,0.000000,54.622755,54.622700
2026-08-18,45.783500,54.216400,0.000000,54.216454,54.216400
2026-08-19,41.692800,58.307300,0.000000,58.307242,58.307300
2026-08-20,40.869500,59.130500,0.000000,59.130500,59.130500
2026-08-21,41.236900,58.763300,0.000000,58.763182,58.763300
2026-08-22,36.711200,63.289000,0.000000,63.288873,63.289000
2026-08-23,37.598400,62.401600,0.000000,62.401600,62.401600
2026-08-24,47.779100,52.220800,0.000000,52.220852,52.220800
2026-08-25,45.359100,54.640900,0.000000,54.640900,54.640900
2026-08-26,40.257400,59.742400,0.000000,59.742519,59.742400
2026-08-27,38.041700,61.958000,0.000000,61.958186,61.958000
2026-08-28,35.989600,64.010100,0.000000,64.010292,64.010100
2026-08-29,28.366900,71.633000,0.000000,71.633072,71.633000
2026-08-30,26.787700,73.212200,0.000000,73.212273,73.212200
2026-08-31,36.198000,63.801900,0.000000,63.801964,63.801900
2026-09-01,36.944300,63.055600,0.000000,63.055663,63.055600
2026-09-02,37.523200,62.476600,0.000000,62.476725,62.476600
2026-09-03,36.076400,63.923600,0.000000,63.923600,63.923600
2026-09-04,36.096300,63.903500,0.000000,63.903628,63.903500
2026-09-05,27.659500,72.340500,0.000000,72.340500,72.340500
2026-09-06,29.009100,70.990900,0.000000,70.990900,70.990900
2026-09-07,32.674500,67.325400,0.000000,67.325467,67.325400
2026-09-08,36.998000,63.001900,0.000000,63.001963,63.001900
2026-09-09,39.069200,60.930900,0.000000,60.930839,60.930900
2026-09-10,31.183300,68.816700,0.000000,68.816700,68.816700
2026-09-11,24.726500,75.273400,0.000000,75.273475,75.273400
2026-09-12,19.325400,80.674700,0.000000,80.674619,80.674700
2026-09-13,17.423400,82.576700,0.000000,82.576617,82.576700
