date,closed_known,open_known,other_share,open_share_classified_pct,open_share_of_total_pct,closed_share_of_total_pct
2026-07-15,13.667700,8.996300,77.336000,39.694229,8.996300,13.667700
2026-07-16,11.688600,9.807300,78.504000,45.624049,9.807300,11.688600
2026-07-17,12.322600,10.933600,76.743800,47.013700,10.933600,12.322600
2026-07-18,10.978700,14.235600,74.785700,56.458438,14.235600,10.978700
2026-07-19,10.453700,15.285700,74.260700,59.386388,15.285700,10.453700
2026-07-20,11.221300,15.509200,73.269500,58.020613,15.509200,11.221300
2026-07-21,11.788200,16.756800,71.455100,58.703100,16.756800,11.788200
2026-07-22,13.989700,3.268400,82.741900,18.938354,3.268400,13.989700
2026-07-23,13.842500,3.317200,82.840200,19.331340,3.317200,13.842500
2026-07-24,15.035000,9.983100,74.982000,39.903510,9.983100,15.035000
2026-07-25,16.083900,10.493700,73.422400,39.483249,10.493700,16.083900
2026-07-26,15.046100,12.217100,72.736800,44.811688,12.217100,15.046100
2026-07-27,20.689400,10.719200,68.591500,34.128232,10.719200,20.689400
2026-07-28,20.886500,10.184900,68.928600,32.779019,10.184900,20.886500
2026-07-29,23.064500,7.914600,69.020900,25.548192,7.914600,23.064500
2026-07-30,19.019700,12.343800,68.636500,39.357215,12.343800,19.019700
2026-07-31,19.527000,8.185700,72.287300,29.537721,8.185700,19.527000
2026-08-01,16.572000,8.738000,74.690000,34.523904,8.738000,16.572000
2026-08-02,14.940400,9.395700,75.663800,38.608076,9.395700,14.940400
2026-08-03,18.471300,8.700800,72.827900,32.021080,8.700800,18.471300
2026-08-04,21.158000,14.374700,64.467400,40.454849,14.374700,21.158000
2026-08-05,25.293400,15.234300,59.472400,37.589846,15.234300,25.293400
2026-08-06,17.140900,17.954500,64.904600,51.159126,17.954500,17.140900
2026-08-07,17.021500,21.514000,61.464600,55.829041,21.514000,17.021500
2026-08-08,14.676900,22.081000,63.242200,60.071440,22.081000,14.676900
2026-08-09,13.306000,20.745900,65.948100,60.924354,20.745900,13.306000
2026-08-10,15.963100,21.781800,62.255100,57.707929,21.781800,15.963100
2026-08-11,17.160500,22.861500,59.978000,57.122333,22.861500,17.160500
2026-08-12,19.828700,22.361100,57.810300,53.001199,22.361100,19.828700
2026-08-13,17.280100,21.648100,61.071900,55.610329,21.648100,17.280100
2026-08-14,18.431400,20.795100,60.773400,53.012887,20.795100,18.431400
2026-08-15,13.383800,19.953800,66.662500,59.853739,19.953800,13.383800
2026-08-16,17.247000,23.185700,59.567300,57.343932,23.185700,17.247000
2026-08-17,16.741100,21.307200,61.951700,56.000399,21.307200,16.741100
2026-08-18,18.022900,19.360300,62.616800,51.788771,19.360300,18.022900
2026-08-19,17.734800,20.355700,61.909600,53.440359,20.355700,17.734800
2026-08-20,16.843800,20.119300,63.037000,54.430770,20.119300,16.843800
2026-08-21,16.980800,21.915300,61.104000,56.343181,21.915300,16.980800
2026-08-22,16.883800,28.241700,54.874500,62.584791,28.241700,16.883800
2026-08-23,17.389700,27.446100,55.164300,61.214699,27.446100,17.389700
2026-08-24,20.930200,21.611800,57.458100,50.801091,21.611800,20.930200
2026-08-25,19.812700,22.873800,57.313400,53.585560,22.873800,19.812700
2026-08-26,16.402000,23.909700,59.688300,59.312061,23.909700,16.402000
2026-08-27,15.469500,24.016400,60.514000,60.822724,24.016400,15.469500
2026-08-28,14.479500,21.535900,63.984600,59.796365,21.535900,14.479500
2026-08-29,12.456500,23.173800,64.369600,65.039587,23.173800,12.456500
2026-08-30,11.859600,20.870200,67.270200,63.765131,20.870200,11.859600
2026-08-31,15.297700,21.481500,63.220900,58.406654,21.481500,15.297700
2026-09-01,14.833800,24.978600,60.187500,62.740754,24.978600,14.833800
2026-09-02,15.614500,24.201000,60.184600,60.782861,24.201000,15.614500
2026-09-03,17.899000,24.313400,57.787500,57.597767,24.313400,17.899000
2026-09-04,20.713300,23.872800,55.413800,53.543145,23.872800,20.713300
2026-09-05,16.425700,28.074200,55.500200,63.088232,28.074200,16.425700
2026-09-06,19.019800,27.018400,53.961900,58.686917,27.018400,19.019800
2026-09-07,19.949700,25.690200,54.360000,56.288905,25.690200,19.949700
2026-09-08,22.185600,26.299400,51.515000,54.242343,26.299400,22.185600
2026-09-09,22.051100,23.757900,54.191000,51.862953,23.757900,22.051100
2026-09-10,16.443900,53.192900,30.363300,76.386192,53.192900,16.443900
2026-09-11,13.414500,67.241500,19.344100,83.368255,67.241500,13.414500
2026-09-12,12.201200,73.595500,14.203200,85.778940,73.595500,12.201200
2026-09-13,11.223900,75.867900,12.908200,87.112564,75.867900,11.223900
